City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
573,sorland,67.667,12.6934,36.95,67,18,10.29,few clouds,NO,2021-12-11 05:03:16
574,ponta delgada,37.7333,-25.6667,64.51,94,40,14.97,scattered clouds,PT,2021-12-11 05:03:16
575,phan thiet,10.9333,108.1,81.52,61,64,4.47,broken clouds,VN,2021-12-11 05:03:17
576,troitskoye,52.9821,84.6757,12.6,80,62,5.75,broken clouds,RU,2021-12-11 05:03:17
577,fare,-16.7,-151.0167,80.26,75,30,10.25,light rain,PF,2021-12-11 05:03:17
578,sibiti,-3.6819,13.3499,67.59,99,97,0.69,light rain,CG,2021-12-11 05:03:18
579,seymchan,62.8833,152.4333,-47.67,97,40,0.65,scattered clouds,RU,2021-12-11 05:03:18
580,ocos,14.5094,-92.1933,78.01,82,1,4.76,clear sky,GT,2021-12-11 05:03:19
581,bulalacao,12.3254,121.3435,82.38,78,97,21.72,overcast clouds,PH,2021-12-11 05:03:19
582,kununurra,-15.7667,128.7333,100.38,34,40,5.75,scattered clouds,AU,2021-12-11 05:03:19
583,nioro,13.35,-15.75,71.56,52,88,3.22,overcast clouds,GM,2021-12-11 05:03:20
584,vanimo,-2.6741,141.3028,85.96,72,100,13.06,overcast clouds,PG,2021-12-11 05:03:20
585,dzerzhinskoye,56.8344,95.2283,16.05,84,100,8.03,light snow,RU,2021-12-11 05:03:20
586,salinopolis,-0.6136,-47.3561,79.66,84,38,10.09,scattered clouds,BR,2021-12-11 05:03:21
587,riyadh,24.6877,46.7219,56.39,38,41,3.98,scattered clouds,SA,2021-12-11 05:00:01
588,saint-ambroise,48.5501,-71.3324,18.57,99,98,3.47,overcast clouds,CA,2021-12-11 05:03:22
589,nuristan,35.3,70.8333,29.93,22,52,2.3,broken clouds,AF,2021-12-11 05:03:22
590,atotonilco el grande,20.2833,-98.6667,57.47,52,24,4.32,few clouds,MX,2021-12-11 05:03:22
591,szeged,46.253,20.1482,37.11,96,96,7.43,overcast clouds,HU,2021-12-11 05:03:23
